,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,200,10000000,50000,40,0.8,0.7,0.3,0.438658866843,0.683176459197,0.6808945769
1,0.01,200,10000000,50000,40,0.8,0.7,0.0,0.43405895222,0.682652253069,0.679966515882
2,0.01,200,10000000,50000,40,0.8,0.0,0.3,0.439841994193,0.683857050282,0.681349809626
3,0.01,200,10000000,50000,40,0.8,0.0,0.0,0.432434664726,0.684133675789,0.681258301686
4,0.01,200,10000000,50000,40,0.5,0.7,0.3,0.43755396817,0.682821653932,0.680368881264
5,0.01,200,10000000,50000,40,0.5,0.7,0.0,0.44212491795,0.683130342557,0.680202489528
6,0.01,200,10000000,50000,40,0.5,0.0,0.3,0.441765607565,0.684053700356,0.681226512363
7,0.01,200,10000000,50000,40,0.5,0.0,0.0,0.439350857331,0.682799233877,0.67996204001
8,0.01,200,10000000,50000,40,0.2,0.7,0.3,0.437067166188,0.683951603986,0.681395903899
9,0.01,200,10000000,50000,40,0.2,0.7,0.0,0.43962471458,0.683263033272,0.680830333534
10,0.01,200,10000000,50000,40,0.2,0.0,0.3,0.437032084879,0.683001185207,0.680229547598
11,0.01,200,10000000,50000,40,0.2,0.0,0.0,0.439767261386,0.68334222473,0.680530450104
12,0.01,200,10000000,50000,30,0.8,0.7,0.3,0.435329940897,0.683129330358,0.680873316813
13,0.01,200,10000000,50000,30,0.8,0.7,0.0,0.438356196343,0.682359960867,0.679684041066
14,0.01,200,10000000,50000,30,0.8,0.0,0.3,0.440264423222,0.684336602763,0.681868976573
15,0.01,200,10000000,50000,30,0.8,0.0,0.0,0.440600883915,0.684704151853,0.681946328636
16,0.01,200,10000000,50000,30,0.5,0.7,0.3,0.435814438409,0.682325320342,0.680149671061
17,0.01,200,10000000,50000,30,0.5,0.7,0.0,0.442009826486,0.682560169373,0.679915101394
18,0.01,200,10000000,50000,30,0.5,0.0,0.3,0.439496602604,0.681974310955,0.679462955224
19,0.01,200,10000000,50000,30,0.5,0.0,0.0,0.437783556385,0.685664278632,0.682520567261
20,0.01,200,10000000,50000,30,0.2,0.7,0.3,0.444149922743,0.681769082294,0.678382285664
21,0.01,200,10000000,50000,30,0.2,0.7,0.0,0.437582674913,0.683401250103,0.681100192085
22,0.01,200,10000000,50000,30,0.2,0.0,0.3,0.438045436088,0.681440315693,0.679436856357
23,0.01,200,10000000,50000,30,0.2,0.0,0.0,0.432726789367,0.683540855397,0.680917591656
24,0.01,200,10000000,50000,20,0.8,0.7,0.3,0.444108933429,0.681084751223,0.678490592482
25,0.01,200,10000000,50000,20,0.8,0.7,0.0,0.437144032696,0.681526057577,0.67922516337
26,0.01,200,10000000,50000,20,0.8,0.0,0.3,0.436283708874,0.682125912729,0.679971724903
27,0.01,200,10000000,50000,20,0.8,0.0,0.0,0.440538856268,0.68258354282,0.680527135051
28,0.01,200,10000000,50000,20,0.5,0.7,0.3,0.438978487282,0.68211729086,0.679243025313
29,0.01,200,10000000,50000,20,0.5,0.7,0.0,0.435929910833,0.68257604254,0.680025121336
30,0.01,200,10000000,50000,20,0.5,0.0,0.3,0.442669190143,0.681528218253,0.678714900512
31,0.01,200,10000000,50000,20,0.5,0.0,0.0,0.436282444087,0.683160079519,0.680825481312
32,0.01,200,10000000,50000,20,0.2,0.7,0.3,0.493913511664,0.5,0.5
33,0.01,200,10000000,50000,20,0.2,0.7,0.0,0.436517310215,0.682420582369,0.679804481493
34,0.01,200,10000000,50000,20,0.2,0.0,0.3,0.437324421148,0.683422567107,0.680626707625
35,0.01,200,10000000,50000,20,0.2,0.0,0.0,0.440733620763,0.68343148919,0.680552136639
36,0.01,50,10000000,50000,40,0.8,0.7,0.3,0.445224262569,0.676250159907,0.673820503233
37,0.01,50,10000000,50000,40,0.8,0.7,0.0,0.452464768443,0.677776769048,0.675673908953
38,0.01,50,10000000,50000,40,0.8,0.0,0.3,0.447460974957,0.674000240254,0.671706661144
39,0.01,50,10000000,50000,40,0.8,0.0,0.0,0.438823615038,0.680910399952,0.678127285591
40,0.01,50,10000000,50000,40,0.5,0.7,0.3,0.440199608687,0.673292265474,0.671049757572
41,0.01,50,10000000,50000,40,0.5,0.7,0.0,0.429130482875,0.674626353797,0.672100605092
42,0.01,50,10000000,50000,40,0.5,0.0,0.3,0.443150970615,0.678029872646,0.675543823956
43,0.01,50,10000000,50000,40,0.5,0.0,0.0,0.444588529538,0.679204473931,0.676621751541
44,0.01,50,10000000,50000,40,0.2,0.7,0.3,0.446297967644,0.670627627076,0.668388226611
45,0.01,50,10000000,50000,40,0.2,0.7,0.0,0.445406698724,0.675396429818,0.673195744561
46,0.01,50,10000000,50000,40,0.2,0.0,0.3,0.444714414637,0.675938164199,0.673994459841
47,0.01,50,10000000,50000,40,0.2,0.0,0.0,0.442644316029,0.678952447443,0.676320378598
48,0.01,50,10000000,50000,30,0.8,0.7,0.3,0.441250704778,0.673782015447,0.671458511122
49,0.01,50,10000000,50000,30,0.8,0.7,0.0,0.442159546282,0.677278888716,0.674885177935
50,0.01,50,10000000,50000,30,0.8,0.0,0.3,0.437122859787,0.676915666758,0.674216694282
51,0.01,50,10000000,50000,30,0.8,0.0,0.0,0.442819205776,0.680160575511,0.677518009795
52,0.01,50,10000000,50000,30,0.5,0.7,0.3,0.44356905651,0.673655481701,0.671425538986
53,0.01,50,10000000,50000,30,0.5,0.7,0.0,0.438348551317,0.677568043553,0.675062094019
54,0.01,50,10000000,50000,30,0.5,0.0,0.3,0.445930134664,0.6773555315,0.675083698686
55,0.01,50,10000000,50000,30,0.5,0.0,0.0,0.441115730714,0.677539992003,0.675004484425
56,0.01,50,10000000,50000,30,0.2,0.7,0.3,0.443390427291,0.669057216239,0.666848895634
57,0.01,50,10000000,50000,30,0.2,0.7,0.0,0.446430108873,0.67616708957,0.673510370387
58,0.01,50,10000000,50000,30,0.2,0.0,0.3,0.438701673735,0.675124442919,0.673287913557
59,0.01,50,10000000,50000,30,0.2,0.0,0.0,0.44070403342,0.678394741543,0.676494744547
60,0.01,50,10000000,50000,20,0.8,0.7,0.3,0.445439099834,0.6737114558,0.671137218532
61,0.01,50,10000000,50000,20,0.8,0.7,0.0,0.438477286815,0.676056842806,0.673541912882
62,0.01,50,10000000,50000,20,0.8,0.0,0.3,0.439464721558,0.675738767425,0.673418575297
63,0.01,50,10000000,50000,20,0.8,0.0,0.0,0.442559693511,0.678854539187,0.676204748848
64,0.01,50,10000000,50000,20,0.5,0.7,0.3,0.441690195081,0.676415047301,0.674495039028
65,0.01,50,10000000,50000,20,0.5,0.7,0.0,0.440905647607,0.677171053653,0.674625972033
66,0.01,50,10000000,50000,20,0.5,0.0,0.3,0.434579470356,0.674391452563,0.671514132661
67,0.01,50,10000000,50000,20,0.5,0.0,0.0,0.438732906668,0.677437655497,0.675216457231
68,0.01,50,10000000,50000,20,0.2,0.7,0.3,0.496580032991,0.5,0.5
69,0.01,50,10000000,50000,20,0.2,0.7,0.0,0.44188743283,0.674248962399,0.671558756971
70,0.01,50,10000000,50000,20,0.2,0.0,0.3,0.449099004992,0.672676829869,0.670483600688
71,0.01,50,10000000,50000,20,0.2,0.0,0.0,0.442075714873,0.678056593693,0.675529440803
72,0.1,200,10000000,50000,40,0.8,0.7,0.3,0.432455440857,0.689188048671,0.685562458149
73,0.1,200,10000000,50000,40,0.8,0.7,0.0,0.434716718331,0.690277162235,0.686550239006
74,0.1,200,10000000,50000,40,0.8,0.0,0.3,0.439676253515,0.689311204665,0.685069600239
75,0.1,200,10000000,50000,40,0.8,0.0,0.0,0.436276505278,0.68897218817,0.684682521005
76,0.1,200,10000000,50000,40,0.5,0.7,0.3,0.433168936672,0.688541054614,0.685341264779
77,0.1,200,10000000,50000,40,0.5,0.7,0.0,0.433912280488,0.688590351827,0.684977230849
78,0.1,200,10000000,50000,40,0.5,0.0,0.3,0.437675687822,0.689846555473,0.685221427978
79,0.1,200,10000000,50000,40,0.5,0.0,0.0,0.434042658826,0.689774387411,0.685617584813
80,0.1,200,10000000,50000,40,0.2,0.7,0.3,0.436805151064,0.685614310473,0.681679599408
81,0.1,200,10000000,50000,40,0.2,0.7,0.0,0.436672370178,0.68831067096,0.68558001828
82,0.1,200,10000000,50000,40,0.2,0.0,0.3,0.432805336855,0.688863121479,0.684838835613
83,0.1,200,10000000,50000,40,0.2,0.0,0.0,0.433971657901,0.689178301972,0.685588610781
84,0.1,200,10000000,50000,30,0.8,0.7,0.3,0.426793938785,0.689522110048,0.686282488257
85,0.1,200,10000000,50000,30,0.8,0.7,0.0,0.436702574724,0.689495314895,0.686002992468
86,0.1,200,10000000,50000,30,0.8,0.0,0.3,0.428167963397,0.689355213157,0.686483878063
87,0.1,200,10000000,50000,30,0.8,0.0,0.0,0.436258520558,0.689575567815,0.685964029287
88,0.1,200,10000000,50000,30,0.5,0.7,0.3,0.437843193543,0.685985687833,0.683823525027
89,0.1,200,10000000,50000,30,0.5,0.7,0.0,0.430034807745,0.689927779901,0.686479146811
90,0.1,200,10000000,50000,30,0.5,0.0,0.3,0.436211384515,0.689823533695,0.68484831889
91,0.1,200,10000000,50000,30,0.5,0.0,0.0,0.432027723243,0.689221856406,0.685474073422
92,0.1,200,10000000,50000,30,0.2,0.7,0.3,0.435273867794,0.686758028263,0.682941885756
93,0.1,200,10000000,50000,30,0.2,0.7,0.0,0.434943100384,0.689185063181,0.685710958616
94,0.1,200,10000000,50000,30,0.2,0.0,0.3,0.442895082486,0.686844460155,0.68433831019
95,0.1,200,10000000,50000,30,0.2,0.0,0.0,0.431331567524,0.690037710753,0.686689908699
96,0.1,200,10000000,50000,20,0.8,0.7,0.3,0.434178217883,0.684593670186,0.681524760871
97,0.1,200,10000000,50000,20,0.8,0.7,0.0,0.432663544769,0.688575951097,0.685573219549
98,0.1,200,10000000,50000,20,0.8,0.0,0.3,0.430059244139,0.687965734965,0.684673774542
99,0.1,200,10000000,50000,20,0.8,0.0,0.0,0.434959019611,0.690219509054,0.687289004726
100,0.1,200,10000000,50000,20,0.5,0.7,0.3,0.430825131015,0.687448299988,0.684056794577
101,0.1,200,10000000,50000,20,0.5,0.7,0.0,0.440740375069,0.68947672169,0.686811629692
102,0.1,200,10000000,50000,20,0.5,0.0,0.3,0.4329768784,0.688832882965,0.685559419249
103,0.1,200,10000000,50000,20,0.5,0.0,0.0,0.428958542492,0.689540866267,0.68608370113
104,0.1,200,10000000,50000,20,0.2,0.7,0.3,0.494582880412,0.5,0.5
105,0.1,200,10000000,50000,20,0.2,0.7,0.0,0.438806070155,0.688530483923,0.685210023852
106,0.1,200,10000000,50000,20,0.2,0.0,0.3,0.435748638331,0.687429584785,0.68490164323
107,0.1,200,10000000,50000,20,0.2,0.0,0.0,0.43432472117,0.689626936497,0.686282205995
108,0.1,50,10000000,50000,40,0.8,0.7,0.3,0.436482907267,0.682041890918,0.679292071731
109,0.1,50,10000000,50000,40,0.8,0.7,0.0,0.43838487614,0.685613697562,0.683563209627
110,0.1,50,10000000,50000,40,0.8,0.0,0.3,0.44086557334,0.685368035537,0.682065211122
111,0.1,50,10000000,50000,40,0.8,0.0,0.0,0.4404895017,0.6853200159,0.683036978792
112,0.1,50,10000000,50000,40,0.5,0.7,0.3,0.43870579629,0.682369947551,0.680054086815
113,0.1,50,10000000,50000,40,0.5,0.7,0.0,0.429042408113,0.682282472586,0.680134668397
114,0.1,50,10000000,50000,40,0.5,0.0,0.3,0.438478849932,0.683788468461,0.681972409175
115,0.1,50,10000000,50000,40,0.5,0.0,0.0,0.438505221951,0.684854467852,0.682071882774
116,0.1,50,10000000,50000,40,0.2,0.7,0.3,0.437165628828,0.683561580421,0.681035521049
117,0.1,50,10000000,50000,40,0.2,0.7,0.0,0.450432078233,0.681078231172,0.678981313265
