,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,50,10000,200000,40,0.8,0.7,0.3,0.416321658369,0.719538495865,0.650295884104
1,0.01,50,10000,200000,40,0.8,0.7,0.0,0.403753109393,0.74076063885,0.647169648138
2,0.01,50,10000,200000,40,0.8,0.0,0.3,0.416050914179,0.723924745835,0.652039412846
3,0.01,50,10000,200000,40,0.8,0.0,0.0,0.413114387256,0.731962905079,0.651502437719
4,0.01,50,10000,200000,40,0.5,0.7,0.3,0.407856817286,0.723515585344,0.655372155994
5,0.01,50,10000,200000,40,0.5,0.7,0.0,0.401948755285,0.738409013005,0.645336581182
6,0.01,50,10000,200000,40,0.5,0.0,0.3,0.421630381775,0.719535413543,0.649151512486
7,0.01,50,10000,200000,40,0.5,0.0,0.0,0.41598313607,0.725046206853,0.653738262291
8,0.01,50,10000,200000,40,0.2,0.7,0.3,0.41390735834,0.71379960374,0.647745873595
9,0.01,50,10000,200000,40,0.2,0.7,0.0,0.408210671858,0.726797966039,0.642561665127
10,0.01,50,10000,200000,40,0.2,0.0,0.3,0.402358534021,0.728423040398,0.659272711721
11,0.01,50,10000,200000,40,0.2,0.0,0.0,0.415107328419,0.720041639334,0.653936670626
