,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,100,2000,100000,100,0.0,0.0,0.0,0.184723009757,0.937294935145,0.58070127128
1,0.01,100,2000,100000,100,0.0,0.0,0.5,0.0503183088024,0.972133923141,0.598514136327
2,0.01,100,2000,100000,100,0.0,0.5,0.0,0.0510249951423,0.963396793057,0.583117791317
3,0.01,100,2000,100000,100,0.0,0.5,0.5,0.0270769922794,0.983251852032,0.577836973416
4,0.01,100,2000,100000,100,0.0,0.2,0.0,0.081966380456,0.96049280645,0.591500663499
5,0.01,100,2000,100000,100,0.0,0.2,0.5,0.0596708868044,0.954050511185,0.572989548967
6,0.01,100,2000,100000,100,0.5,0.0,0.0,0.0530157325918,0.974358574099,0.581919059175
7,0.01,100,2000,100000,100,0.5,0.0,0.5,0.0384887808332,0.969503657934,0.579182409811
8,0.01,100,2000,100000,100,0.5,0.5,0.0,0.0362011870599,0.975578095481,0.565166142465
