,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,400,10000000,100000,40,0.7,0,0,0.434083409984,0.689156509107,0.685305169431
1,0.01,400,10000000,100000,40,0.5,0,0,0.432132172576,0.691611739851,0.686366283474
2,0.01,400,10000000,100000,30,0.7,0,0,0.435219698958,0.690165513329,0.686547742636
3,0.01,400,10000000,100000,30,0.5,0,0,0.432066390805,0.691432856048,0.687088525247
4,0.001,400,10000000,100000,40,0.7,0,0,0.441418337847,0.681461067131,0.678294433692
5,0.001,400,10000000,100000,40,0.5,0,0,0.438908239625,0.683487355144,0.680733249999
6,0.001,400,10000000,100000,30,0.7,0,0,0.440301491163,0.682515806371,0.679544436135
7,0.001,400,10000000,100000,30,0.5,0,0,0.439384353296,0.682057695884,0.679277865756
