,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.1,2000,10000000,50000,100,0.8,0.7,0.3,0.45202,0.5,0.5
1,0.1,2000,10000000,50000,100,0.8,0.7,0.0,0.54948,0.5,0.5
2,0.1,2000,10000000,50000,100,0.8,0.0,0.3,0.45359,0.5,0.5
3,0.1,2000,10000000,50000,100,0.8,0.0,0.0,0.5493,0.5,0.5
4,0.1,2000,10000000,50000,100,0.5,0.7,0.3,0.452260000294,0.5,0.5
5,0.1,2000,10000000,50000,100,0.5,0.7,0.0,0.54794,0.5,0.5
6,0.1,2000,10000000,50000,100,0.5,0.0,0.3,0.45159,0.5,0.5
7,0.1,2000,10000000,50000,100,0.5,0.0,0.0,0.54897,0.5,0.5
8,0.1,2000,10000000,50000,100,0.2,0.7,0.3,0.449540000278,0.5,0.5
9,0.1,2000,10000000,50000,100,0.2,0.7,0.0,0.450450000002,0.5,0.5
10,0.1,2000,10000000,50000,100,0.2,0.0,0.3,0.449910000191,0.5,0.5
11,0.1,2000,10000000,50000,100,0.2,0.0,0.0,0.44989,0.5,0.5
12,0.1,2000,10000000,50000,50,0.8,0.7,0.3,0.452990000502,0.5,0.5
13,0.1,2000,10000000,50000,50,0.8,0.7,0.0,0.54897,0.5,0.5
14,0.1,2000,10000000,50000,50,0.8,0.0,0.3,0.450330000169,0.5,0.5
15,0.1,2000,10000000,50000,50,0.8,0.0,0.0,0.45132,0.5,0.5
16,0.1,2000,10000000,50000,50,0.5,0.7,0.3,0.44917000019,0.5,0.5
17,0.1,2000,10000000,50000,50,0.5,0.7,0.0,0.4523,0.5,0.5
18,0.1,2000,10000000,50000,50,0.5,0.0,0.3,0.451400000002,0.5,0.5
19,0.1,2000,10000000,50000,50,0.5,0.0,0.0,0.54769,0.5,0.5
20,0.1,2000,10000000,50000,50,0.2,0.7,0.3,0.474010200479,0.499983071251,0.499990015738
21,0.1,2000,10000000,50000,50,0.2,0.7,0.0,0.454579999994,0.5,0.5
22,0.1,2000,10000000,50000,50,0.2,0.0,0.3,0.550859961518,0.5,0.5
23,0.1,2000,10000000,50000,50,0.2,0.0,0.0,0.4513,0.5,0.5
24,0.1,2000,10000000,50000,25,0.8,0.7,0.3,0.452150000101,0.5,0.5
25,0.1,2000,10000000,50000,25,0.8,0.7,0.0,0.5512,0.5,0.5
26,0.1,2000,10000000,50000,25,0.8,0.0,0.3,0.455290003708,0.5,0.5
27,0.1,2000,10000000,50000,25,0.8,0.0,0.0,0.453949999997,0.5,0.5
28,0.1,2000,10000000,50000,25,0.5,0.7,0.3,0.464976857729,0.5,0.500092016256
29,0.1,2000,10000000,50000,25,0.5,0.7,0.0,0.489636475111,0.4999725494,0.499709009663
30,0.1,2000,10000000,50000,25,0.5,0.0,0.3,0.45319,0.5,0.5
31,0.1,2000,10000000,50000,25,0.5,0.0,0.0,0.54758,0.5,0.5
32,0.1,2000,10000000,50000,25,0.2,0.7,0.3,0.453798030215,0.5,0.5
33,0.1,2000,10000000,50000,25,0.2,0.7,0.0,0.451580014328,0.5,0.500027340332
34,0.1,2000,10000000,50000,25,0.2,0.0,0.3,0.45979576113,0.500003889295,0.500082020997
35,0.1,2000,10000000,50000,25,0.2,0.0,0.0,0.390556415699,0.676463260452,0.674797440823
36,1.0,2000,10000000,50000,100,0.8,0.7,0.3,0.44838,0.5,0.5
37,1.0,2000,10000000,50000,100,0.8,0.7,0.0,0.45118,0.5,0.5
38,1.0,2000,10000000,50000,100,0.8,0.0,0.3,0.45106,0.5,0.5
39,1.0,2000,10000000,50000,100,0.8,0.0,0.0,0.54839,0.5,0.5
40,1.0,2000,10000000,50000,100,0.5,0.7,0.3,0.45426,0.5,0.5
41,1.0,2000,10000000,50000,100,0.5,0.7,0.0,0.54929,0.5,0.5
42,1.0,2000,10000000,50000,100,0.5,0.0,0.3,0.45007,0.5,0.5
43,1.0,2000,10000000,50000,100,0.5,0.0,0.0,0.55034,0.5,0.5
44,1.0,2000,10000000,50000,100,0.2,0.7,0.3,0.5493,0.5,0.5
45,1.0,2000,10000000,50000,100,0.2,0.7,0.0,0.55086,0.5,0.5
46,1.0,2000,10000000,50000,100,0.2,0.0,0.3,0.54717,0.5,0.5
47,1.0,2000,10000000,50000,100,0.2,0.0,0.0,0.5487,0.5,0.5
48,1.0,2000,10000000,50000,50,0.8,0.7,0.3,0.55007,0.5,0.5
49,1.0,2000,10000000,50000,50,0.8,0.7,0.0,0.54973,0.5,0.5
50,1.0,2000,10000000,50000,50,0.8,0.0,0.3,0.45105,0.5,0.5
51,1.0,2000,10000000,50000,50,0.8,0.0,0.0,0.55155,0.5,0.5
52,1.0,2000,10000000,50000,50,0.5,0.7,0.3,0.55105,0.5,0.5
53,1.0,2000,10000000,50000,50,0.5,0.7,0.0,0.54848,0.5,0.5
54,1.0,2000,10000000,50000,50,0.5,0.0,0.3,0.55138,0.5,0.5
55,1.0,2000,10000000,50000,50,0.5,0.0,0.0,0.44842,0.5,0.5
56,1.0,2000,10000000,50000,50,0.2,0.7,0.3,0.45059,0.5,0.5
57,1.0,2000,10000000,50000,50,0.2,0.7,0.0,0.55109,0.5,0.5
58,1.0,2000,10000000,50000,50,0.2,0.0,0.3,0.45343,0.5,0.5
59,1.0,2000,10000000,50000,50,0.2,0.0,0.0,0.44916,0.5,0.5
60,1.0,2000,10000000,50000,25,0.8,0.7,0.3,0.45014,0.5,0.5
61,1.0,2000,10000000,50000,25,0.8,0.7,0.0,0.45326,0.5,0.5
62,1.0,2000,10000000,50000,25,0.8,0.0,0.3,0.54564,0.5,0.5
