,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,500,10000,100000,40,0.7,0.5,0.0,0.194683282811,0.919888487325,0.579276437338
1,0.01,500,10000,100000,40,0.7,0.5,0.5,0.205400189772,0.927754539584,0.567438612247
2,0.01,500,10000,100000,40,0.7,0.0,0.0,0.231763860898,0.897140941603,0.593194873336
3,0.01,500,10000,100000,40,0.7,0.0,0.5,0.193588491808,0.908023544095,0.583926215927
4,0.01,500,10000,100000,40,0.5,0.5,0.0,0.257972657141,0.877045770598,0.590978847442
5,0.01,500,10000,100000,40,0.5,0.5,0.5,0.262386152541,0.895583340434,0.587585881025
6,0.01,500,10000,100000,40,0.5,0.0,0.0,0.266239030934,0.868583189541,0.600699437186
7,0.01,500,10000,100000,40,0.5,0.0,0.5,0.234385257655,0.882048722397,0.589778541474
8,0.01,500,10000,100000,40,0.7,0.5,0.0,0.187905276691,0.918975852143,0.585316962126
9,0.01,500,10000,100000,40,0.7,0.5,0.5,0.218062197631,0.910985412229,0.568347417118
10,0.01,500,10000,100000,40,0.7,0.0,0.0,0.249625148201,0.874852956309,0.59732962238
11,0.01,500,10000,100000,40,0.7,0.0,0.5,0.202921651231,0.918802154565,0.589864198889
12,0.01,500,10000,100000,30,0.7,0.5,0.0,0.271917482371,0.863068607676,0.589672514749
13,0.01,500,10000,100000,30,0.7,0.5,0.5,0.276745611952,0.885168108973,0.589743873322
14,0.01,500,10000,100000,30,0.7,0.0,0.0,0.302189903528,0.843166474128,0.604906038456
15,0.01,500,10000,100000,30,0.7,0.0,0.5,0.288081186605,0.868600244299,0.593417429141
16,0.01,500,10000,100000,30,0.5,0.5,0.0,0.29120727826,0.847967851943,0.592219307957
17,0.01,500,10000,100000,30,0.5,0.5,0.5,0.309605509427,0.839457559602,0.59539674702
18,0.01,500,10000,100000,30,0.5,0.0,0.0,0.316275738444,0.826978490732,0.610316500242
19,0.01,500,10000,100000,30,0.5,0.0,0.5,0.283892540342,0.852034706095,0.600048084772
20,0.01,500,10000,100000,30,0.7,0.5,0.0,0.267110007853,0.872266854179,0.588630281725
21,0.01,500,10000,100000,30,0.7,0.5,0.5,0.275985032941,0.863875567454,0.589859032635
22,0.01,500,10000,100000,30,0.7,0.0,0.0,0.308208976099,0.838906241969,0.605463315689
23,0.01,500,10000,100000,30,0.7,0.0,0.5,0.272163375841,0.869385945054,0.596243173165
24,0.01,2000,10000,100000,40,0.7,0.5,0.0,0.113093482065,0.936309553339,0.582045463765
25,0.01,2000,10000,100000,40,0.7,0.5,0.5,0.143820114501,0.916351227697,0.565629759967
26,0.01,2000,10000,100000,40,0.7,0.0,0.0,0.152000056188,0.906780583447,0.586431991916
27,0.01,2000,10000,100000,40,0.7,0.0,0.5,0.146658224771,0.950120782906,0.571821110525
28,0.01,2000,10000,100000,40,0.5,0.5,0.0,0.193248178735,0.926699653418,0.589890430945
29,0.01,2000,10000,100000,40,0.5,0.5,0.5,0.207744288814,0.926017164486,0.577641137211
30,0.01,2000,10000,100000,40,0.5,0.0,0.0,0.197956844591,0.909524734325,0.582859135276
31,0.01,2000,10000,100000,40,0.5,0.0,0.5,0.172179488691,0.925250696734,0.589684082611
32,0.01,2000,10000,100000,40,0.7,0.5,0.0,0.123703113962,0.951328661167,0.581543017493
33,0.01,2000,10000,100000,40,0.7,0.5,0.5,0.163001378971,0.942574083272,0.579815567921
34,0.01,2000,10000,100000,40,0.7,0.0,0.0,0.165111282544,0.925998442236,0.586601857554
35,0.01,2000,10000,100000,40,0.7,0.0,0.5,0.117795141081,0.927700842075,0.583497732127
36,0.01,2000,10000,100000,30,0.7,0.5,0.0,0.214850861425,0.898786021411,0.58628008964
37,0.01,2000,10000,100000,30,0.7,0.5,0.5,0.240293735383,0.909794938164,0.589117383197
38,0.01,2000,10000,100000,30,0.7,0.0,0.0,0.242669854668,0.876055095996,0.595760631876
39,0.01,2000,10000,100000,30,0.7,0.0,0.5,0.224255715676,0.870558459837,0.579021893039
40,0.01,2000,10000,100000,30,0.5,0.5,0.0,0.262135503035,0.883835160833,0.582088621778
41,0.01,2000,10000,100000,30,0.5,0.5,0.5,0.281025295701,0.850975358309,0.586246230394
42,0.01,2000,10000,100000,30,0.5,0.0,0.0,0.249012361831,0.85834027807,0.594244087157
43,0.01,2000,10000,100000,30,0.5,0.0,0.5,0.251074722012,0.874690651882,0.599491921925
44,0.01,2000,10000,100000,30,0.7,0.5,0.0,0.233548809374,0.901021211861,0.577910029228
45,0.01,2000,10000,100000,30,0.7,0.5,0.5,0.219304121001,0.884775906818,0.590296078388
46,0.01,2000,10000,100000,30,0.7,0.0,0.0,0.214939524629,0.889725729086,0.588050318431
47,0.01,2000,10000,100000,30,0.7,0.0,0.5,0.227012808041,0.90515497764,0.585564444982
48,0.001,500,10000,100000,40,0.7,0.5,0.0,0.415841587845,0.724912462428,0.661264956231
49,0.001,500,10000,100000,40,0.7,0.5,0.5,0.421973143854,0.717933565387,0.660709431223
50,0.001,500,10000,100000,40,0.7,0.0,0.0,0.422937947484,0.713252164557,0.662719251749
51,0.001,500,10000,100000,40,0.7,0.0,0.5,0.417451528732,0.718130694469,0.659692638455
52,0.001,500,10000,100000,40,0.5,0.5,0.0,0.41710503595,0.72080659405,0.654128395089
53,0.001,500,10000,100000,40,0.5,0.5,0.5,0.42346628408,0.70681954269,0.653593807583
54,0.001,500,10000,100000,40,0.5,0.0,0.0,0.420390151141,0.713133266521,0.65890615576
55,0.001,500,10000,100000,40,0.5,0.0,0.5,0.423051623444,0.711062717166,0.659734944794
56,0.001,500,10000,100000,40,0.7,0.5,0.0,0.424827078735,0.710765993458,0.656229220125
57,0.001,500,10000,100000,40,0.7,0.5,0.5,0.415548176509,0.722872034204,0.658273862764
58,0.001,500,10000,100000,40,0.7,0.0,0.0,0.425034904544,0.713905465638,0.664697259735
59,0.001,500,10000,100000,40,0.7,0.0,0.5,0.418730505118,0.725904787154,0.657740967609
60,0.001,500,10000,100000,30,0.7,0.5,0.0,0.419659805058,0.714488700538,0.65754092191
61,0.001,500,10000,100000,30,0.7,0.5,0.5,0.425681692189,0.708956369482,0.662120643265
62,0.001,500,10000,100000,30,0.7,0.0,0.0,0.424430969482,0.710559412286,0.662445889969
63,0.001,500,10000,100000,30,0.7,0.0,0.5,0.41466376716,0.724491501159,0.659884515658
64,0.001,500,10000,100000,30,0.5,0.5,0.0,0.419420427269,0.71452348865,0.650627537305
65,0.001,500,10000,100000,30,0.5,0.5,0.5,0.426212150299,0.699843323985,0.660052882007
66,0.001,500,10000,100000,30,0.5,0.0,0.0,0.424032889447,0.711649229195,0.66346081443
67,0.001,500,10000,100000,30,0.5,0.0,0.5,0.422398306116,0.710775109313,0.662074272839
68,0.001,500,10000,100000,30,0.7,0.5,0.0,0.421003099127,0.715026690134,0.660021539905
69,0.001,500,10000,100000,30,0.7,0.5,0.5,0.426216729498,0.711056458012,0.664752644223
70,0.001,500,10000,100000,30,0.7,0.0,0.0,0.425460641696,0.705420907012,0.663382438403
71,0.001,500,10000,100000,30,0.7,0.0,0.5,0.414667542981,0.717442922629,0.662484391267
72,0.001,2000,10000,100000,40,0.7,0.5,0.0,0.341705554658,0.807475010338,0.612657033094
73,0.001,2000,10000,100000,40,0.7,0.5,0.5,0.316453252812,0.82714568952,0.619739381565
74,0.001,2000,10000,100000,40,0.7,0.0,0.0,0.349001431794,0.810970344645,0.610449955278
75,0.001,2000,10000,100000,40,0.7,0.0,0.5,0.316223622595,0.833356926089,0.613622922135
76,0.001,2000,10000,100000,40,0.5,0.5,0.0,0.34519462923,0.806367431558,0.617505122265
77,0.001,2000,10000,100000,40,0.5,0.5,0.5,0.341211809361,0.812845215962,0.619671466346
78,0.001,2000,10000,100000,40,0.5,0.0,0.0,0.365134237961,0.790472923081,0.608171527442
